pdb	chain	start	end	curv_mean	curv_std	twist_mean	twist_std	 twist_sign_mean	twist_sign_std	pitch_mean	 pitch_std	pitch_sign_mean	pitch_sign_std	 tmscores_mean	tmscores_std	yaw_mean	yaw_std
1a1f	A	103	186	1.4895916070212514	0.04444931671536512	0.6422093549697651	0.0024719866793455614	1.0	0.0	0.4516568823112348	0.040813745090671594	0.0	1.0	0.7595742741797004	0.017474518117629234	0.1170361869460985	0.052773731028068246
1a18	A	1	131	1.2871393115173944	0.15680646472932658	0.849424269279326	0.8423782868764401	-0.5	0.8660254037844386	0.323453953805983	0.2592547960758368	0.5	0.8660254037844386	0.2952765296500703	0.09903144470203074	0.5373647295674768	0.4541001005746583
1a17	A	22	128	0.6395190492809758	0.007205336511985072	0.5439204011644765	0.0099014866461698	1.0	0.0	0.23033414674731156	0.11387921521629518	0.0	1.0	0.7780212628449704	0.029875622408422564	0.06600573369333265	0.03630361016564257
1a0r	B	55	340	0.8841213636659816	0.034817576120841846	0.12221676068256125	0.07249096266351493	0.0	1.0	0.08927312575992585	0.043186815755469406	0.0	1.0	0.7201894186970236	0.10578066283015315	0.07466158792547976	0.056670498435979745
1a12	A	35	417	0.8918957898458806	0.053591398449294045	0.16150380697421185	0.11650399466229501	0.0	1.0	0.05730083900051789	0.03669220991049617	0.3333333333333333	0.9428090415820634	0.661747177035461	0.10152319847467625	0.07790695207253036	0.0428859791154647
1a0t	P	73	483	0.7307672916762603	0.39190321817194307	0.21063212593062375	0.14228360883488203	-0.25	0.9682458365518543	0.14761495832364357	0.09929587861153666	-1.0	0.0	0.4102711794315877	0.10613551958445892	0.3463871026677193	0.3678040447302699
1a38	A	2	201	0.6437010211541465	0.03732032888264393	0.26903842311235254	0.19105276056835682	0.3333333333333333	0.9428090415820634	0.32963457040896516	0.027404945023800396	-0.3333333333333333	0.9428090415820634	0.534813882460793	0.029652543627684207	0.4464278596547135	0.49177416088541576
1a3y	A	12	120	0.1673852529934485	0.024644567858601002	1.188568601521375	0.2148600123484909	-0.3333333333333333	0.9428090415820634	0.7524073689600518	0.42937572322245754	-0.3333333333333333	0.9428090415820634	0.2825964816712071	0.05073170552648673	0.5564000920356991	0.38214335240513014
1a50	A	18	267	0.8385016993383252	0.13151321730491555	0.19817575250940983	0.09058330370727354	0.42857142857142855	0.9035079029052513	0.17221327474932163	0.1313860847220475	-0.14285714285714285	0.989743318610787	0.41447765403336956	0.05082468620953371	0.2168875543821473	0.15244236828061822
1a5c	A	34	345	0.8644215178353036	0.33089158889979353	0.37086302883354555	0.19733223142758988	-0.14285714285714285	0.989743318610787	0.2964723160192258	0.16198661781189458	0.14285714285714285	0.989743318610787	0.45255575166013895	0.08094613202875843	0.3042097206663114	0.34032965205383414
1a9n	C	2	151	0.2749375648477372	0.03214067804354725	0.09401327221489482	0.08677510212854647	-0.2	0.9797958971132713	0.0681616368459502	0.06005149032844231	1.0	0.0	0.374518564647886	0.08445093286390093	0.08574593578505121	0.05788356339515132
1a4y	A	2	455	0.3128573340209512	0.02690750963933704	0.04025040820666997	0.029461464511917806	0.4666666666666667	0.8844332774281067	0.04618333029704053	0.05984081577958757	-0.06666666666666667	0.9977753031397176	0.5690223615926399	0.08469172001400428	0.0766816141005044	0.10124323078645901
1aa1	B	169	434	0.8015585016674934	0.17439891151237122	0.4436269678463375	0.39697991253682935	-0.42857142857142855	0.9035079029052512	0.2695973833703991	0.2617247777678713	-0.7142857142857143	0.6998542122237652	0.40710300894881996	0.09094758716211213	0.8682279289929186	0.9293920072518693
1abr	B	15	136	2.029474842998773	0.12422600395593741	0.10034717321632344	0.08227078610257826	0.0	1.0	0.11629915915349687	0.022198744439636875	0.0	1.0	0.7318165048997227	0.01949917016676722	0.1232782245449973	0.03819122491347095
1af6	A	1	421	0.508070693874121	0.13430977816259518	0.0705134654493044	0.07184653511662023	-0.5	0.8660254037844386	0.11586529248310076	0.13260103461827666	-0.25	0.9682458365518543	0.45580714366393216	0.12188389444912152	0.15406844381495932	0.10712208742672359
1ado	C	28	339	0.800885429956713	0.2822591027948455	0.4316669291851966	0.29881545582032565	-0.14285714285714285	0.989743318610787	0.3473714974934592	0.2948133930233587	-0.14285714285714285	0.989743318610787	0.45302878406152214	0.09180619325806116	0.3820627224657179	0.5785651174265595
1afc	A	13	131	1.8356591453368503	0.001437703100614418	0.24730291017083986	0.13364291179277618	0.0	1.0	0.2487398156431555	0.18799400245911202	-1.0	0.0	0.6353347245960151	0.02429624672547681	0.20826740897781593	0.04209747517725426
1aj0	A	16	275	0.7321548957135734	0.1679585692736015	0.329309527742332	0.23833267955667733	-0.7142857142857143	0.6998542122237652	0.40082699222601004	0.24010287201784922	0.14285714285714285	0.989743318610787	0.4064682147536484	0.054358699570337884	0.6564676178380667	0.6691949277470721
1ag1	O	7	247	0.8108076852583481	0.14881295801399205	0.257041857015249	0.12638570554601097	-0.42857142857142855	0.9035079029052512	0.22788419848565802	0.12694620234955015	-0.14285714285714285	0.989743318610787	0.3319723686372203	0.10039168386529836	0.31410942972581485	0.12871757387719396
